Angle, Intensity
2.669,109
2.671,115
2.673,95
2.675,94
2.677,121
2.679,114
2.681,118
2.683,134
2.685,119
2.687,132
2.689,151
2.691,165
2.693,159
2.695,173
2.697,141
2.699,147
2.701,186
2.703,181
2.705,181
2.707,174
2.709,176
2.711,220
2.713,186
2.715,215
2.717,195
2.719,222
2.721,223
2.723,290
2.725,299
2.727,282
2.729,279
2.731,261
2.733,302
2.735,354
2.737,377
2.739,407
2.741,333
2.743,336
2.745,363
2.747,401
2.749,390
2.751,374
2.753,373
2.755,403
2.757,444
2.759,467
2.761,557
2.763,555
2.765,564
2.767,553
2.769,572
2.771,651
2.773,669
2.775,620
2.777,667
2.779,694
2.781,788
2.783,824
2.785,772
2.787,825
2.789,753
2.791,828
2.793,981
2.795,959
2.797,1001
2.799,885
2.801,886
2.803,984
2.805,1100
2.807,1234
2.809,1173
2.811,1076
2.813,1087
2.815,1239
2.817,1441
2.819,1520
2.821,1391
2.823,1247
2.825,1258
2.827,1480
2.829,1659
2.831,1827
2.833,1637
2.835,1405
2.837,1389
2.839,1710
2.841,2212
2.843,2495
2.845,2374
2.847,1971
2.849,1745
2.851,2029
2.853,2774
2.855,3560
2.857,3934
2.859,3584
2.861,3071
2.863,2887
2.865,3629
2.867,4949
2.869,6520
2.871,7132
2.873,7060
2.875,6240
2.877,5625
2.879,5761
2.881,7369
2.883,9754
2.885,11685
2.887,12975
2.889,12195
2.891,10407
2.893,7987
2.895,5601
2.897,4154
2.899,3499
2.901,4055
2.903,5767
2.905,8137
2.907,11240
2.909,13806
2.911,16193
2.913,16994
2.915,16861
2.917,15409
2.919,13494
2.921,11452
2.923,9307
2.925,7571
2.927,6263
2.929,4925
2.931,3919
2.933,3057
2.935,2225
2.937,1598
2.939,1092
2.941,810
2.943,650
2.945,451
2.947,343
2.949,272
2.951,175
2.953,117
2.955,60
2.957,40
2.959,30
2.961,28
2.963,28
2.965,34
2.967,61
2.969,39
2.971,34
2.973,18
2.975,30
2.977,24
2.979,23
2.981,22
2.983,22
2.985,24
2.987,21
2.989,21
2.991,26
2.993,24
2.995,16
2.997,11
2.999,22
3.001,22
3.003,28
3.005,17
3.007,17
3.009,18
3.011,27
3.013,18
3.015,15
3.017,16
3.019,14
3.021,18
3.023,19
3.025,10
3.027,22
3.029,16
3.031,12
3.033,16
3.035,14
3.037,7
3.039,18
3.041,12
3.043,15
3.045,13
3.047,14
3.049,17
3.051,14
3.053,11
3.055,20
3.057,15
3.059,13
3.061,10
3.063,13
3.065,14
3.067,16
3.069,23
3.071,14
3.073,8
3.075,12
3.077,8
3.079,13
3.081,5
3.083,4
3.085,11
3.087,11
3.089,9
3.091,7
3.093,9
3.095,8
3.097,5
3.099,9
3.101,13
3.103,11
3.105,15
3.107,7
3.109,7
3.111,8
3.113,10
3.115,8
3.117,1
3.119,9
3.121,6
3.123,16
3.125,5
3.127,5
3.129,4
3.131,1
3.133,2
3.135,4
3.137,6
3.139,7
3.141,11
3.143,7
3.145,6
3.147,8
3.149,6
3.151,4
3.153,7
3.155,10
3.157,11
3.159,7
3.161,4
3.163,4
3.165,8
3.167,9
3.169,4
3.171,6
3.173,5
3.175,2
3.177,5
3.179,7
3.181,7
3.183,3
3.185,2
3.187,1
3.189,6
3.191,4
3.193,5
3.195,6
3.197,2
3.199,5
3.201,5
3.203,1
3.205,3
3.207,3
3.209,5
3.211,6
3.213,5
3.215,6
3.217,4
3.219,4
3.221,5
3.223,4
3.225,4
3.227,1
3.229,4
3.231,3
3.233,3
3.235,7
3.237,4
3.239,4
3.241,2
3.243,7
3.245,6
3.247,3
3.249,1
3.251,2
3.253,6
3.255,10
3.257,3
3.259,5
3.261,1
3.263,6
3.265,4
3.267,3
3.269,5
3.271,6
3.273,1
3.275,3
3.277,2
3.279,3
3.281,3
3.283,5
3.285,3
3.287,4
3.289,3
3.291,4
3.293,1
3.295,7
3.297,1
3.299,6
3.301,0
3.303,1
3.305,6
3.307,6
3.309,2
3.311,2
3.313,4
3.315,4
3.317,0
3.319,1
3.321,3
3.323,2
3.325,2
3.327,2
3.329,4
3.331,3
3.333,1
3.335,1
3.337,1
3.339,4
3.341,2
3.343,2
3.345,6
3.347,2
3.349,5
3.351,1
3.353,4
3.355,3
3.357,2
3.359,0
3.361,2
3.363,1
3.365,0
3.367,1
3.369,3
3.371,1
3.373,1
3.375,2
3.377,1
3.379,1
3.381,1
3.383,1
3.385,3
3.387,5
3.389,1
3.391,0
3.393,2
3.395,3
3.397,1
3.399,0
3.401,2
3.403,5
3.405,1
3.407,3
3.409,0
3.411,5
3.413,1
3.415,2
3.417,3
3.419,4
3.421,4
3.423,0
3.425,3
3.427,1
3.429,1
3.431,1
3.433,2
3.435,2
3.437,1
3.439,1
3.441,2
3.443,3
3.445,2
3.447,1
3.449,1
3.451,5
3.453,2
3.455,3
3.457,3
3.459,0
3.461,2
3.463,2
3.465,2
3.467,0
3.469,0
3.471,0
3.473,3
3.475,1
3.477,1
3.479,2
3.481,0
3.483,4
3.485,2
3.487,3
3.489,3
3.491,0
3.493,4
3.495,3
3.497,2
3.499,0
3.501,2
3.503,2
3.505,5
3.507,2
3.509,1
3.511,2
3.513,0
3.515,1
3.517,2
3.519,2
3.521,0
3.523,3
3.525,1
3.527,1
3.529,1
3.531,2
3.533,3
3.535,1
3.537,0
3.539,1
3.541,1
3.543,0
3.545,2
3.547,3
3.549,3
3.551,1
3.553,2
3.555,2
3.557,1
3.559,0
3.561,1
3.563,3
3.565,0
3.567,0
3.569,1
3.571,2
3.573,0
3.575,0
3.577,0
3.579,2
3.581,2
3.583,2
3.585,0
3.587,0
3.589,1
3.591,2
3.593,0
3.595,2
3.597,0
3.599,2
3.601,5
3.603,0
3.605,2
3.607,2
3.609,1
3.611,1
3.613,3
3.615,0
3.617,0
3.619,0
3.621,2
3.623,0
3.625,2
3.627,4
3.629,2
3.631,3
3.633,2
3.635,0
3.637,1
3.639,1
3.641,0
3.643,2
3.645,0
3.647,1
3.649,2
3.651,0
3.653,1
3.655,1
3.657,1
3.659,0
3.661,1
3.663,0
3.665,1
3.667,2
3.669,1
3.671,1
3.673,0
3.675,0
3.677,2
3.679,3
3.681,4
3.683,2
3.685,0
3.687,1
3.689,0
3.691,0
3.693,1
3.695,1
3.697,2
3.699,3
3.701,0
3.703,0
3.705,0
3.707,1
3.709,3
3.711,1
3.713,0
3.715,1
3.717,1
3.719,1
3.721,0
3.723,2
3.725,1
3.727,2
3.729,0
3.731,0
3.733,1
3.735,0
3.737,3
3.739,1
3.741,2
3.743,0
3.745,2
3.747,0
3.749,0
3.751,1
3.753,1
3.755,0
3.757,0
3.759,0
3.761,1
3.763,0
3.765,2
3.767,1
3.769,0
3.771,0
3.773,0
3.775,2
3.777,2
3.779,0
3.781,0
3.783,0
3.785,2
3.787,0
3.789,0
3.791,0
3.793,0
3.795,0
3.797,0
3.799,0
3.801,2
3.803,1
3.805,3
3.807,0
3.809,2
3.811,3
3.813,0
3.815,0
3.817,1
3.819,0
3.821,0
3.823,1
3.825,0
3.827,1
3.829,4
3.831,1
3.833,2
3.835,0
3.837,0
3.839,1
3.841,1
3.843,0
3.845,0
3.847,0
3.849,0
3.851,2
3.853,1
3.855,0
3.857,1
3.859,2
3.861,0
3.863,2
3.865,2
3.867,0
3.869,2
3.871,0
3.873,0
3.875,0
3.877,0
3.879,0
3.881,1
3.883,1
3.885,3
3.887,3
3.889,3
3.891,1
3.893,1
3.895,0
3.897,1
3.899,2
3.901,1
3.903,1
3.905,2
3.907,0
3.909,0
3.911,1
3.913,2
3.915,1
3.917,0
3.919,0
3.921,1
3.923,1
3.925,0
3.927,2
3.929,3
3.931,1
3.933,1
3.935,2
3.937,2
3.939,1
3.941,1
3.943,2
3.945,0
3.947,3
3.949,4
3.951,1
3.953,1
3.955,0
3.957,2
3.959,2
3.961,1
3.963,0
3.965,1
3.967,2
3.969,6
3.971,2
3.973,2
3.975,3
3.977,1
3.979,6
3.981,0
3.983,4
3.985,0
3.987,6
3.989,5
3.991,3
3.993,2
3.995,2
3.997,2
3.999,1
4.001,1
4.003,5
4.005,2
4.007,0
4.009,4
4.011,0
4.013,1
4.015,1
4.017,2
4.019,3
4.021,2
4.023,3
4.025,4
4.027,1
4.029,2
4.031,4
4.033,4
4.035,3
4.037,2
4.039,3
4.041,6
4.043,1
4.045,5
4.047,4
4.049,2
4.051,5
4.053,4
4.055,3
4.057,5
4.059,1
4.061,5
4.063,2
4.065,6
4.067,4
4.069,2
4.071,3
4.073,6
4.075,5
4.077,8
4.079,5
4.081,2
4.083,4
4.085,9
4.087,2
4.089,4
4.091,3
4.093,2
4.095,6
4.097,4
4.099,3
4.101,5
4.103,8
4.105,5
4.107,7
4.109,4
4.111,15
4.113,2
4.115,6
4.117,7
4.119,3
4.121,10
4.123,7
4.125,7
4.127,14
4.129,7
4.131,7
4.133,6
4.135,6
4.137,8
4.139,10
4.141,8
4.143,8
4.145,3
4.147,9
4.149,4
4.151,12
4.153,19
4.155,11
4.157,11
4.159,15
4.161,18
4.163,11
4.165,9
4.167,12
4.169,6
4.171,10
4.173,9
4.175,10
4.177,14
4.179,13
4.181,12
4.183,15
4.185,6
4.187,13
4.189,14
4.191,6
